Name,Month,Year,Participants
Codeforces Round 975 (Div. 1),September,2024,1668
Codeforces Round 969 (Div. 1),August,2024,1496
Codeforces Round 942 (Div. 1),April,2024,1426
Codeforces Round 941 (Div. 1),April,2024,1581
Codeforces Round 934 (Div. 1),March,2024,1494
Codeforces Round 930 (Div. 1),February,2024,1328
Codeforces Round 921 (Div. 1),January,2024,1436
Codeforces Round 908 (Div. 1),November,2023,1480
Codeforces Round 906 (Div. 1),October,2023,1398
Codeforces Round 905 (Div. 1),October,2023,892
"Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)",October,2023,1425
Codeforces Round 901 (Div. 1),September,2023,1542
Codeforces Round 896 (Div. 1),September,2023,1427
Codeforces Round 889 (Div. 1),July,2023,1409
Codeforces Round 887 (Div. 1),July,2023,1319
Codeforces Round 880 (Div. 1),June,2023,1245
Codeforces Round 875 (Div. 1),May,2023,1251
Codeforces Round 873 (Div. 1),May,2023,1083
Codeforces Round 872 (Div. 1),May,2023,1212
Codeforces Round 869 (Div. 1),April,2023,1218
Codeforces Round 866 (Div. 1),April,2023,1078
Codeforces Round 865 (Div. 1),April,2023,1100
Codeforces Round 857 (Div. 1),March,2023,1208
"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",February,2023,1333
Codeforces Round 829 (Div. 1),October,2022,1381
Codeforces Round 814 (Div. 1),August,2022,1320
Codeforces Round 810 (Div. 1),July,2022,1487
Codeforces Round 808 (Div. 1),July,2022,1356
Codeforces Round 800 (Div. 1),June,2022,1135
Codeforces Round 796 (Div. 1),June,2022,1206
Codeforces Round 794 (Div. 1),May,2022,885
Codeforces Round 789 (Div. 1),May,2022,1206
Codeforces Round 783 (Div. 1),April,2022,1144
"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",March,2022,1187
Codeforces Round 773 (Div. 1),February,2022,1240
Codeforces Round 768 (Div. 1),January,2022,1333
Codeforces Round 767 (Div. 1),January,2022,1392
"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",November,2021,1000
Codeforces Round 752 (Div. 1),October,2021,1387
Codeforces Round 751 (Div. 1),October,2021,1073
"Bubble Cup 14 - Finals Online Mirror (Unrated, ICPC Rules, Teams Preferred, Div. 1)",October,2021,981
Codeforces Round 745 (Div. 1),September,2021,1250
Codeforces Round 743 (Div. 1),September,2021,1236
"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",August,2021,1450
Codeforces Round 736 (Div. 1),August,2021,1520
Codeforces Round 732 (Div. 1),July,2021,1456
Codeforces Round 728 (Div. 1),June,2021,1231
Codeforces Round 722 (Div. 1),May,2021,1470
Codeforces Round 715 (Div. 1),April,2021,1523
Codeforces Round 712 (Div. 1),April,2021,1625
"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",March,2021,1369
"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",March,2021,1435
Codeforces Round 706 (Div. 1),March,2021,1631
Codeforces Round 700 (Div. 1),February,2021,1769
Codeforces Round 698 (Div. 1),January,2021,1622
Codeforces Round 694 (Div. 1),January,2021,1562
"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",December,2020,1299
Codeforces Round 691 (Div. 1),December,2020,1282
"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",November,2020,1356
Codeforces Round 684 (Div. 1),November,2020,1617
"Codeforces Round 683 (Div. 1, by Meet IT)",November,2020,1392
"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",November,2020,1455
"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",November,2020,1313
"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",October,2020,1311
"Bubble Cup 13 - Finals [Online Mirror, unrated, Div. 1]",October,2020,1889
Codeforces Round 673 (Div. 1),September,2020,1627
Codeforces Round 668 (Div. 1),September,2020,1869
Codeforces Round 666 (Div. 1),August,2020,1894
Codeforces Round 664 (Div. 1),August,2020,1921
Codeforces Round 659 (Div. 1),July,2020,1875
Codeforces Round 658 (Div. 1),July,2020,2038
"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",June,2020,1870
Codeforces Round 641 (Div. 1),May,2020,1799
Codeforces Round 639 (Div. 1),May,2020,2268
"Codeforces Round 637 (Div. 1) - Thanks, Ivan Belonogov!",April,2020,1870
Codeforces Round 635 (Div. 1),April,2020,1999
Codeforces Round 633 (Div. 1),April,2020,1983
"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",April,2020,1883
"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",March,2020,1319
"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",March,2020,1225
"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",February,2020,1006
Codeforces Round 618 (Div. 1),February,2020,1503
"AIM Tech Poorly Prepared Contest (unrated, funny, Div. 1 preferred)",February,2020,2426
Codeforces Round 616 (Div. 1),February,2020,1485
Codeforces Round 614 (Div. 1),January,2020,1391
Codeforces Round 612 (Div. 1),January,2020,1313
Codeforces Round 609 (Div. 1),December,2019,1166
Codeforces Round 607 (Div. 1),December,2019,891
"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",December,2019,999
Codeforces Round 604 (Div. 1),December,2019,1201
"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",November,2019,869
Codeforces Round 601 (Div. 1),November,2019,1146
Codeforces Round 599 (Div. 1),November,2019,1138
"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",October,2019,930
Codeforces Round 594 (Div. 1),October,2019,971
"Codeforces Round 591 (Div. 1, based on Technocup 2020 Elimination Round 1)",October,2019,917
Codeforces Round 588 (Div. 1),September,2019,1051
"Bubble Cup 12 - Finals [Online Mirror, unrated, Div. 1]",September,2019,941
Codeforces Round 580 (Div. 1),August,2019,1140
Codeforces Round 576 (Div. 1),July,2019,1016
Codeforces Round 573 (Div. 1),July,2019,1053
Codeforces Round 572 (Div. 1),July,2019,886
Codeforces Round 569 (Div. 1),June,2019,829
Codeforces Round 564 (Div. 1),June,2019,964
Codeforces Round 562 (Div. 1),May,2019,759
Codeforces Round 559 (Div. 1),May,2019,802
Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May,2019,748
Codeforces Round 556 (Div. 1),April,2019,963
Codeforces Round 549 (Div. 1),March,2019,734
Codeforces Round 545 (Div. 1),March,2019,741
"Codeforces Round 543 (Div. 1, based on Technocup 2019 Final Round)",March,2019,800
Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),February,2019,793
Codeforces Round 539 (Div. 1),February,2019,922
Codeforces Round 534 (Div. 1),January,2019,832
Codeforces Round 530 (Div. 1),January,2019,862
"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",December,2018,848
Codeforces Round 526 (Div. 1),December,2018,675
"Codeforces Round 522 (Div. 1, based on Technocup 2019 Elimination Round 3)",November,2018,773
Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),November,2018,625
"Codeforces Round 518 (Div. 1) [Thanks, Mail.Ru!]",October,2018,731
"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",October,2018,693
"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",October,2018,746
"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",September,2018,797
"Bubble Cup 11 - Finals [Online Mirror, Div. 1]",September,2018,931
Codeforces Round 511 (Div. 1),September,2018,844
"Codeforces Round 507 (Div. 1, based on Olympiad of Metropolises)",September,2018,692
"Codeforces Round 503 (by SIS, Div. 1)",August,2018,901
Codeforces Round 500 (Div. 1) [based on EJOI],July,2018,792
Codeforces Round 499 (Div. 1),July,2018,868
Codeforces Round 497 (Div. 1),July,2018,882
Codeforces Round 493 (Div. 1),July,2018,812
"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",June,2018,751
Codeforces Round 488 by NEAR (Div. 1),June,2018,747
Codeforces Round 485 (Div. 1),May,2018,883
"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",May,2018,859
"Codeforces Round 477 (rated, Div. 1, based on VK Cup 2018 Round 3)",April,2018,800
Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),April,2018,800
"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",March,2018,604
"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",March,2018,749
Codeforces Round 469 (Div. 1),March,2018,865
"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",March,2018,813
Codeforces Round 467 (Div. 1),February,2018,880
Codeforces Round 462 (Div. 1),February,2018,884
Codeforces Round 459 (Div. 1),January,2018,784
"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",December,2017,821
Codeforces Round 453 (Div. 1),December,2017,788
Codeforces Round 449 (Div. 1),December,2017,802
Codeforces Round 446 (Div. 1),November,2017,699
"Codeforces Round 445 (Div. 1, based on Technocup 2018 Elimination Round 3)",November,2017,687
Codeforces Round 443 (Div. 1),October,2017,755
"Codeforces Round 441 (Div. 1, by Moscow Team Olympiad)",October,2017,667
"Codeforces Round 440 (Div. 1, based on Technocup 2018 Elimination Round 2)",October,2017,617
MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),October,2017,824
"Codeforces Round 434 (Div. 1, based on Technocup 2018 Elimination Round 1)",September,2017,574
"Russian Code Cup 2017 - Finals [Unofficial Mirror, Div. 1 Only Recommended, Teams Allowed]",September,2017,1516
"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",September,2017,769
"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",September,2017,717
Codeforces Round 431 (Div. 1),September,2017,880
AIM Tech Round 4 (Div. 1),August,2017,737
Codeforces Round 429 (Div. 1),August,2017,803
Codeforces Round 426 (Div. 1),July,2017,740
"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",July,2017,721
"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",July,2017,700
Codeforces Round 421 (Div. 1),June,2017,776
Codeforces Round 419 (Div. 1),June,2017,870
Codeforces Round 415 (Div. 1),May,2017,564
"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",May,2017,635
Codeforces Round 411 (Div. 1),May,2017,783
"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",April,2017,498
Codeforces Round 407 (Div. 1),March,2017,709
Codeforces Round 406 (Div. 1),March,2017,795
"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",March,2017,689
"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",March,2017,805
Codeforces Round 402 (Div. 1),February,2017,784
Codeforces Round 395 (Div. 1),February,2017,870
Codeforces Round 393 (Div. 1) (8VC Venture Cup 2017 - Final Round Div. 1 Edition),January,2017,656
Codeforces Round 385 (Div. 1),December,2016,902
Codeforces Round 383 (Div. 1),December,2016,1023
Codeforces Round 382 (Div. 1),November,2016,856
Codeforces Round 381 (Div. 1),November,2016,849
"Codeforces Round 380 (Div. 1, Rated, Based on Technocup 2017 - Elimination Round 2)",November,2016,696
Codeforces Round 373 (Div. 1),September,2016,835
"Russian Code Cup 2016 - Finals [Unofficial Mirror, Div. 1 Only Recommended]",September,2016,1429
Codeforces Round 372 (Div. 1),September,2016,907
Codeforces Round 371 (Div. 1),September,2016,808
AIM Tech Round 3 (Div. 1),August,2016,800
Codeforces Round 366 (Div. 1),August,2016,764
Codeforces Round 364 (Div. 1),July,2016,652
Codeforces Round 363 (Div. 1),July,2016,755
Codeforces Round 362 (Div. 1),July,2016,711
Codeforces Round 360 (Div. 1),June,2016,743
Codeforces Round 359 (Div. 1),June,2016,733
Codeforces Round 356 (Div. 1),June,2016,798
Codeforces Round 352 (Div. 1),May,2016,670
"Codeforces Round 351 (VK Cup 2016 Round 3, Div. 1 Edition)",May,2016,491
Codeforces Round 349 (Div. 1),April,2016,644
"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",April,2016,394
Codeforces Round 347 (Div. 1),April,2016,639
Codeforces Round 345 (Div. 1),March,2016,734
8VC Venture Cup 2016 - Final Round (Div. 1 Edition),February,2016,465
AIM Tech Round (Div. 1),February,2016,794
Codeforces Round 339 (Div. 1),January,2016,697
Codeforces Round 336 (Div. 1),December,2015,657
Codeforces Round 335 (Div. 1),December,2015,634
Codeforces Round 334 (Div. 1),December,2015,678
Codeforces Round 333 (Div. 1),November,2015,730
Codeforces Round 330 (Div. 1),November,2015,642
Codeforces Round 327 (Div. 1),October,2015,579
Codeforces Round 326 (Div. 1),October,2015,640
Codeforces Round 325 (Div. 1),October,2015,602
Codeforces Round 323 (Div. 1),October,2015,739
Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],September,2015,1580
Codeforces Round 319 (Div. 1),September,2015,1500
Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),August,2015,1527
Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),August,2015,1770
Codeforces Round 315 (Div. 1),August,2015,1570
Codeforces Round 313 (Div. 1),July,2015,1796
Codeforces Round 310 (Div. 1),June,2015,1635
Codeforces Round 309 (Div. 1),June,2015,1517
Codeforces Round 305 (Div. 1),May,2015,1599
Codeforces Round 302 (Div. 1),May,2015,1238
"VK Cup 2015 - Round 3 (unofficial online mirror, Div. 1 only)",May,2015,822
"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",April,2015,807
Codeforces Round 299 (Div. 1),April,2015,1546
"VK Cup 2015 - Round 1 (unofficial online mirror, Div. 1 only)",March,2015,912
Codeforces Round 296 (Div. 1),March,2015,1592
Codeforces Round 295 (Div. 1),March,2015,1291
Codeforces Round 292 (Div. 1),February,2015,1679
Codeforces Round 290 (Div. 1),February,2015,1728
Codeforces Round 286 (Div. 1),January,2015,1364
Codeforces Round 285 (Div. 1),January,2015,1134
Codeforces Round 284 (Div. 1),December,2014,1274
Codeforces Round 283 (Div. 1),December,2014,1334
Codeforces Round 282 (Div. 1),December,2014,1521
Codeforces Round 278 (Div. 1),November,2014,1319
Codeforces Round 276 (Div. 1),November,2014,1286
Codeforces Round 275 (Div. 1),October,2014,1284
Codeforces Round 274 (Div. 1),October,2014,1201
Codeforces Round 272 (Div. 1),October,2014,1489
Codeforces Round 268 (Div. 1),September,2014,1400
Codeforces Round 265 (Div. 1),September,2014,1397
Codeforces Round 263 (Div. 1),August,2014,1329
Codeforces Round 260 (Div. 1),August,2014,1162
Codeforces Round 259 (Div. 1),August,2014,1201
Codeforces Round 257 (Div. 1),July,2014,1144
Codeforces Round #FF (Div. 1),July,2014,989
Codeforces Round 254 (Div. 1),July,2014,1002
Codeforces Round 253 (Div. 1),June,2014,1001
Codeforces Round 250 (Div. 1),June,2014,1075
Codeforces Round 248 (Div. 1),May,2014,728
Codeforces Round 245 (Div. 1),May,2014,999
Codeforces Round 243 (Div. 1),April,2014,912
"Coder-Strike 2014 - Finals (online edition, Div. 1)",April,2014,571
RCC 2014 Warmup (Div. 1),April,2014,852
Codeforces Round 240 (Div. 1),April,2014,996
Codeforces Round 239 (Div. 1),March,2014,774
Codeforces Round 238 (Div. 1),March,2014,1052
Codeforces Round 236 (Div. 1),March,2014,1011
Codeforces Round 233 (Div. 1),March,2014,217
Codeforces Round 232 (Div. 1),February,2014,149
Codeforces Round 230 (Div. 1),February,2014,149
Codeforces Round 228 (Div. 1),February,2014,1144
Codeforces Round 225 (Div. 1),January,2014,988
Codeforces Round 223 (Div. 1),January,2014,940
Codeforces Round 222 (Div. 1),December,2013,884
Codeforces Round 221 (Div. 1),December,2013,859
Codeforces Round 219 (Div. 1),December,2013,966
Codeforces Round 215 (Div. 1),November,2013,966
Codeforces Round 213 (Div. 1),November,2013,976
Codeforces Round 210 (Div. 1),November,2013,871
Codeforces Round 207 (Div. 1),October,2013,891
Codeforces Round 206 (Div. 1),October,2013,966
Codeforces Round 204 (Div. 1),October,2013,1018
Codeforces Round 202 (Div. 1),September,2013,820
Codeforces Round 201 (Div. 1),September,2013,874
Codeforces Round 200 (Div. 1),September,2013,871
Codeforces Round 198 (Div. 1),August,2013,938
Codeforces Round 196 (Div. 1),August,2013,774
Codeforces Round 194 (Div. 1),July,2013,796
Codeforces Round 192 (Div. 1),July,2013,786
Codeforces Round 190 (Div. 1),June,2013,744
Codeforces Round 189 (Div. 1),June,2013,704
Codeforces Round 188 (Div. 1),June,2013,789
Codeforces Round 187 (Div. 1),June,2013,812
Codeforces Round 185 (Div. 1),May,2013,696
"Croc Champ 2013 - Finals (online version, Div. 1)",May,2013,427
Codeforces Round 183 (Div. 1),May,2013,648
Codeforces Round 182 (Div. 1),May,2013,866
Codeforces Round 180 (Div. 1),April,2013,856
Codeforces Round 179 (Div. 1),April,2013,874
Codeforces Round 177 (Div. 1),April,2013,848
Codeforces Round 176 (Div. 1),March,2013,737
Codeforces Round 174 (Div. 1),March,2013,907
Codeforces Round 172 (Div. 1),March,2013,865
Codeforces Round 170 (Div. 1),March,2013,865
Codeforces Round 168 (Div. 1),February,2013,750
Codeforces Round 167 (Div. 1),February,2013,765
Codeforces Round 165 (Div. 1),February,2013,845
Codeforces Round 162 (Div. 1),January,2013,738
Codeforces Round 160 (Div. 1),January,2013,655
Codeforces Round 157 (Div. 1),December,2012,687
Codeforces Round 156 (Div. 1),December,2012,676
Codeforces Round 153 (Div. 1),December,2012,631
Codeforces Round 152 (Div. 1),November,2012,608
Codeforces Round 150 (Div. 1),November,2012,639
Codeforces Round 148 (Div. 1),November,2012,569
Codeforces Round 146 (Div. 1),October,2012,550
"Codeforces Round 145 (Div. 1, ACM-ICPC Rules)",October,2012,388
Codeforces Round 144 (Div. 1),October,2012,603
Codeforces Round 142 (Div. 1),October,2012,604
Codeforces Round 140 (Div. 1),September,2012,563
Codeforces Round 138 (Div. 1),September,2012,588
Codeforces Round 136 (Div. 1),September,2012,603
Codeforces Round 134 (Div. 1),August,2012,449
Codeforces Round 131 (Div. 1),July,2012,463
Codeforces Round 129 (Div. 1),July,2012,453
Codeforces Round 127 (Div. 1),June,2012,492
Codeforces Round 125 (Div. 1),June,2012,452
Codeforces Round 124 (Div. 1),June,2012,460
Codeforces Round 122 (Div. 1),June,2012,443
Codeforces Round 121 (Div. 1),May,2012,465
Codeforces Round 119 (Div. 1),May,2012,472
Codeforces Round 118 (Div. 1),May,2012,494
Codeforces Round 114 (Div. 1),March,2012,575
Codeforces Round 110 (Div. 1),March,2012,572
Codeforces Round 109 (Div. 1),February,2012,578
Codeforces Round 107 (Div. 1),February,2012,612
Codeforces Round 104 (Div. 1),January,2012,454
Codeforces Round 102 (Div. 1),January,2012,540
